FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3110,Enterprise Architect Management,4111,Green IT Architecture,3 00,0,649,Project Manager - DoIT,Annual,1,1,105828.00,105828.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3110,Enterprise Architect Management,4116,Server and Storage Architecture,3 00,0,649,Project Manager - DoIT,Annual,1,1,102708.00,102708.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3110,Enterprise Architect Management,4119,Network Architecture,1 00,9,9777,IT Director (DoIT),Annual,1,1,118080.00,118080.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3110,Enterprise Architect Management,4119,Network Architecture,3 00,10,629,Principal Programmer/Analyst,Annual,1,1,102024.00,102024.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3115,Citywide Financial Systems,4130,Financial Systems,1 00,9,9777,IT Director (DoIT),Annual,1,1,111216.00,111216.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3115,Citywide Financial Systems,4130,Financial Systems,3 00,0,649,Project Manager - DoIT,Annual,1,1,104352.00,104352.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3115,Citywide Financial Systems,4130,Financial Systems,3 00,0,649,Project Manager - DoIT,Annual,1,1,91632.00,91632.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3115,Citywide Financial Systems,4130,Financial Systems,3 00,10,625,Chief Programmer/Analyst,Annual,1,1,110352.00,110352.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3115,Citywide Financial Systems,4140,HR\Payroll Systems,3 00,0,649,Project Manager - DoIT,Annual,1,1,88476.00,88476.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3115,Citywide Financial Systems,4140,HR\Payroll Systems,3 00,10,629,Principal Programmer/Analyst,Annual,1,1,83100.00,83100.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3120,Citywide Regulatory Systems,4145,Inspections and Permits,1 00,9,9777,IT Director (DoIT),Annual,1,1,118080.00,118080.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3120,Citywide Regulatory Systems,4145,Inspections and Permits,3 00,0,649,Project Manager - DoIT,Annual,1,1,92040.00,92040.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3120,Citywide Regulatory Systems,4145,Inspections and Permits,3 00,0,649,Project Manager - DoIT,Annual,1,1,91200.00,91200.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3120,Citywide Regulatory Systems,4145,Inspections and Permits,3 00,0,649,Project Manager - DoIT,Annual,1,1,76980.00,76980.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3120,Citywide Regulatory Systems,4145,Inspections and Permits,3 00,0,601,Director of Information Systems,Annual,1,1,79464.00,79464.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3120,Citywide Regulatory Systems,4147,Business Licenses  Taxes and Investigations,1 00,9,9777,IT Director (DoIT),Annual,1,1,102708.00,102708.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3120,Citywide Regulatory Systems,4147,Business Licenses  Taxes and Investigations,BX 15,10,1912,Project Coordinator,Annual,1,1,77280.00,77280.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3125,Citywide Services Systems,4149,Customer Relationship Management System,1 00,9,9777,IT Director (DoIT),Annual,1,1,110856.00,110856.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3125,Citywide Services Systems,4149,Customer Relationship Management System,B 12,1,690,Help Desk Technician,Annual,1,1,60600.00,60600.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3127,Health Information Technology,4129,Health Enterprise Systems,BX 17,10,634,Data Services Administrator,Annual,1,1,80916.00,80916.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3127,Health Information Technology,4129,Health Enterprise Systems,3 00,10,625,Chief Programmer/Analyst,Annual,1,1,110352.00,110352.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3127,Health Information Technology,4129,Health Enterprise Systems,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1127.00,1127.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3127,Health Information Technology,4131,Health Technical Operations,3 00,0,601,Director of Information Systems,Annual,1,1,93912.00,93912.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3140,Technical Operations,4154,End User Computing Operations,3 00,0,649,Project Manager - DoIT,Annual,1,1,94872.00,94872.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3140,Technical Operations,4154,End User Computing Operations,3 00,0,649,Project Manager - DoIT,Annual,2,1,75576.00,151152.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3225,GIS,0,,1 00,9,9777,IT Director (DoIT),Annual,1,1,108684.00,108684.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3140,Technical Operations,4154,End User Computing Operations,3 00,10,629,Principal Programmer/Analyst,Annual,1,1,102024.00,102024.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3140,Technical Operations,4157,Telecommunication Operations,B 09,1,832,Personal Computer Operator II,Annual,1,1,50280.00,50280.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3140,Technical Operations,4157,Telecommunication Operations,B 17,1,633,Principal Telecommunications Specialist,Annual,1,1,96384.00,96384.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3140,Technical Operations,4157,Telecommunication Operations,B 15,1,627,Senior Telecommunications Specialist,Annual,1,1,83832.00,83832.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3140,Technical Operations,4157,Telecommunication Operations,B 15,1,627,Senior Telecommunications Specialist,Annual,1,1,72192.00,72192.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3140,Technical Operations,4157,Telecommunication Operations,3 00,0,610,Manager of Telecommunications,Annual,1,1,112332.00,112332.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3140,Technical Operations,4157,Telecommunication Operations,B 17,1,608,Telephone Systems Administrator,Annual,1,1,110748.00,110748.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3140,Technical Operations,4157,Telecommunication Operations,BX 15,10,134,Financial Analyst,Annual,1,1,84780.00,84780.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3140,Technical Operations,4157,Telecommunication Operations,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2860.00,2860.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3210,Security Management,0,,1 00,9,9777,IT Director (DoIT),Annual,1,1,118080.00,118080.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3210,Security Management,0,,3 00,0,614,Manager of IS Security and Operations,Annual,1,1,116880.00,116880.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3210,Security Management,0,,3 00,0,601,Director of Information Systems,Annual,1,1,113208.00,113208.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3215,Analytics and Performance Management,0,,1 00,9,9777,IT Director (DoIT),Annual,1,1,119256.00,119256.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3215,Analytics and Performance Management,0,,3 00,10,659,Principal Data Base Analyst,Annual,2,1,102024.00,204048.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3215,Analytics and Performance Management,0,,3 00,10,659,Principal Data Base Analyst,Annual,1,1,99108.00,99108.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3215,Analytics and Performance Management,0,,3 00,20,658,Chief Data Base Analyst,Annual,2,1,110352.00,220704.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3215,Analytics and Performance Management,0,,3 00,0,649,Project Manager - DoIT,Annual,1,1,105828.00,105828.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3215,Analytics and Performance Management,0,,3 00,0,649,Project Manager - DoIT,Annual,1,1,105564.00,105564.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3215,Analytics and Performance Management,0,,3 00,0,649,Project Manager - DoIT,Annual,1,1,98712.00,98712.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3215,Analytics and Performance Management,0,,3 00,0,649,Project Manager - DoIT,Annual,1,1,97728.00,97728.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3220,Application Development,0,,1 00,9,9777,IT Director (DoIT),Annual,1,1,118332.00,118332.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3220,Application Development,0,,G 08,4,637,Senior Programmer/Analyst - Per Agreement,Annual,3,1,99648.00,298944.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3220,Application Development,0,,GY 08,20,635,Senior Programmer/Analyst,Annual,1,1,87660.00,87660.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3220,Application Development,0,,3 00,10,625,Chief Programmer/Analyst,Annual,1,1,104772.00,104772.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3220,Application Development,0,,3 00,10,624,GIS Data Base Analyst,Annual,1,1,90696.00,90696.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3220,Application Development,0,,3 00,10,624,GIS Data Base Analyst,Annual,1,1,76980.00,76980.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3220,Application Development,0,,3 00,10,624,GIS Data Base Analyst,Annual,1,1,76212.00,76212.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3230,Shared Services,0,,1 00,9,9777,IT Director (DoIT),Annual,1,1,116868.00,116868.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3230,Shared Services,0,,BX 15,20,1302,Administrative Services Officer II,Annual,1,1,77280.00,77280.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3230,Shared Services,0,,3 00,0,699,Manager of Systems Development,Annual,1,1,94000.00,94000.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3230,Shared Services,0,,G 08,4,673,Senior Data Base Analyst,Annual,1,1,99648.00,99648.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3230,Shared Services,0,,3 00,10,659,Principal Data Base Analyst,Annual,1,1,102024.00,102024.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3230,Shared Services,0,,3 00,10,625,Chief Programmer/Analyst,Annual,1,1,88476.00,88476.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3230,Shared Services,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2273.00,2273.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,0,9699,Legislative Aide,Annual,3,1,41220.00,123660.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9645,Assistant to the Alderman,Annual,50,1,0.00,0.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9625,Staff Assistant to the Alderman,Annual,100,1,0.00,0.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9619,Sergeant at Arms,Annual,1,1,91980.00,91980.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9611,Assistant Sergeant-At-Arms,Annual,2,1,89928.00,179856.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9611,Assistant Sergeant-At-Arms,Annual,1,1,60408.00,60408.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9607,Secretary to President Pro-Tem,Annual,1,1,62808.00,62808.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9603,Assistant Council Committee Secretary,Annual,1,1,66048.00,66048.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9603,Assistant Council Committee Secretary,Annual,1,1,63588.00,63588.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9601,Alderman,Annual,19,1,114913.00,2183347.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9601,Alderman,Annual,8,1,113001.00,904008.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9601,Alderman,Annual,1,1,112345.00,112345.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9601,Alderman,Annual,2,1,111495.00,222990.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9601,Alderman,Annual,3,1,111202.00,333606.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9601,Alderman,Annual,1,1,110556.00,110556.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9601,Alderman,Annual,1,1,108835.00,108835.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9601,Alderman,Annual,1,1,108717.00,108717.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9601,Alderman,Annual,1,1,108203.00,108203.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9601,Alderman,Annual,10,1,108086.00,1080860.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9601,Alderman,Annual,2,1,104709.00,209418.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9601,Alderman,Annual,1,1,104101.00,104101.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3010,Administration,0,,1 00,0,9709,Assistant Chief Administrative Officer,Annual,1,1,113208.00,113208.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3010,Administration,0,,1 00,0,9699,Legislative Aide,Annual,1,1,90696.00,90696.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3010,Administration,0,,1 00,0,9699,Legislative Aide,Annual,1,1,31236.00,31236.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3010,Administration,0,,1 00,0,9699,Legislative Aide,Annual,1,1,24624.00,24624.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3010,Administration,0,,1 00,9,9614,Deputy Chief Administrative Officer,Annual,1,1,145188.00,145188.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3010,Administration,0,,1 00,0,9613,Chief Administrative Officer,Annual,1,1,160248.00,160248.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3010,Administration,0,,1 00,9,9604,Secretary of Committee on Finance,Annual,1,1,62340.00,62340.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3010,Administration,0,,3 00,0,9185,Security Specialist,Annual,2,1,52000.00,104000.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3020,Worker's Compensation and Police and Fire Disability,0,,1 00,0,9838,Administrative Staff Investigator,Annual,1,1,57192.00,57192.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3020,Worker's Compensation and Police and Fire Disability,0,,1 00,0,9838,Administrative Staff Investigator,Annual,1,1,42180.00,42180.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3020,Worker's Compensation and Police and Fire Disability,0,,1 00,0,9837,Chief Investigator,Annual,1,1,69684.00,69684.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3020,Worker's Compensation and Police and Fire Disability,0,,1 00,0,9836,Disability Claims Investigator,Annual,1,1,40260.00,40260.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3020,Worker's Compensation and Police and Fire Disability,0,,1 00,0,9834,Legislative Research Analyst,Annual,1,1,91716.00,91716.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3020,Worker's Compensation and Police and Fire Disability,0,,1 00,0,9727,Director of Workers Compensation,Annual,1,1,119556.00,119556.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3020,Worker's Compensation and Police and Fire Disability,0,,1 00,0,9699,Legislative Aide,Annual,1,1,57048.00,57048.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3020,Worker's Compensation and Police and Fire Disability,0,,1 00,0,9699,Legislative Aide,Annual,1,1,23520.00,23520.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3025,Legislative Preparation and Research,0,,1 00,0,9834,Legislative Research Analyst,Annual,1,1,81000.00,81000.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3025,Legislative Preparation and Research,0,,1 00,0,9834,Legislative Research Analyst,Annual,1,1,45240.00,45240.00
Local,100,CORPORATE FUND,27,FINANCE,1005,2011,CITY COMPTROLLER,3011,Fiscal Administration,0,,G 05,4,102,Accountant II,Annual,1,1,76524.00,76524.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3025,Legislative Preparation and Research,0,,1 00,0,9834,Legislative Research Analyst,Annual,1,1,40944.00,40944.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3025,Legislative Preparation and Research,0,,1 00,0,9699,Legislative Aide,Annual,1,1,34248.00,34248.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3030,Information Services,0,,1 00,9,9839,Manager - Information Services,Annual,1,1,102552.00,102552.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3030,Information Services,0,,1 00,0,9699,Legislative Aide,Annual,1,1,83136.00,83136.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3030,Information Services,0,,1 00,0,9699,Legislative Aide,Annual,1,1,63480.00,63480.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1010,2010,COMMITTEE ON FINANCE,3030,Information Services,0,,1 00,0,9699,Legislative Aide,Annual,1,1,37572.00,37572.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3005,Administration,0,,1 00,9,9925,City Clerk,Annual,1,1,133545.00,133545.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3005,Administration,0,,1 00,9,9629,Secretary to City Clerk,Annual,1,1,76512.00,76512.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3005,Administration,0,,3 00,20,3057,Director of Program Operations,Annual,1,1,83940.00,83940.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3005,Administration,0,,BX 15,20,1302,Administrative Services Officer II,Annual,1,1,88812.00,88812.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3005,Administration,0,,BX 15,20,1302,Administrative Services Officer II,Annual,1,1,73752.00,73752.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3005,Administration,0,,3 00,9,315,Deputy City Clerk,Annual,1,1,122832.00,122832.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3005,Administration,0,,3 00,9,311,Projects Administrator,Annual,1,1,87924.00,87924.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3005,Administration,0,,BX 16,20,212,Director of Collection Processing,Annual,1,1,97416.00,97416.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3010,Index Division,0,,B 10,1,1614,Proofreader - City Clerk,Annual,1,1,50280.00,50280.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3010,Index Division,0,,BX 13,20,770,Index Editor,Annual,1,1,45240.00,45240.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3010,Index Division,0,,B 11,1,725,Editorial Assistant - City Council,Annual,1,1,69648.00,69648.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3010,Index Division,0,,B 11,1,725,Editorial Assistant - City Council,Annual,2,1,55212.00,110424.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3010,Index Division,0,,B 12,1,432,Supervising Clerk,Annual,1,1,76428.00,76428.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3010,Index Division,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2015.00,2015.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,1 00,9,1651,Office Administrator,Annual,1,1,100200.00,100200.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,B 10,1,1614,Proofreader - City Clerk,Annual,1,1,50280.00,50280.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,B 10,1,1614,Proofreader - City Clerk,Annual,2,1,48048.00,96096.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,B 09,1,832,Personal Computer Operator II,Annual,1,1,55212.00,55212.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,B 09,1,832,Personal Computer Operator II,Annual,1,1,48048.00,48048.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,B 09,1,832,Personal Computer Operator II,Annual,3,1,45828.00,137484.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,B 09,1,832,Personal Computer Operator II,Annual,1,1,41364.00,41364.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,BX 15,20,728,Assistant Managing Editor Council Journal,Annual,1,1,54492.00,54492.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,3 00,20,727,Managing Editor Council Journal,Annual,1,1,111996.00,111996.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,BX 17,20,726,Deputy Managing Editor Council Journal,Annual,1,1,97416.00,97416.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,B 11,1,725,Editorial Assistant - City Council,Annual,2,1,55212.00,110424.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,BX 13,10,696,Reprographics Technician - I/C,Annual,1,1,73752.00,73752.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,BX 12,10,691,Reprographics Technician IV,Annual,1,1,41220.00,41220.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,BX 15,10,653,Web Author,Annual,1,1,62640.00,62640.00
Local,100,CORPORATE FUND,25,CITY CLERK,1005,2005,CITY CLERK,3015,City Council Research and Record Service,0,,G 04,1,502,Archival Specialist,Annual,1,1,56472.00,56472.00
